timestamp_coleta,T_MF4_IN,T_MF4_OUT,T_MM2_IN,T_MM2_OUT,T_BOILER100,T_BOILER200,T_IN,Sinal_Vazao1
2025-05-20 21:08:33.120472,23.91,26.44,27.24,26.92,-100.0,-100.0,-100.0,1.0
2025-05-20 21:08:34.249715,22.57,26.41,27.11,27.57,-100.0,-100.0,-100.0,1.0
2025-05-20 21:08:35.288310,21.96,26.53,27.37,27.62,-100.0,-100.0,-100.0,1.0
2025-05-20 21:08:36.415583,28.48,26.11,26.87,27.62,-100.0,-100.0,-100.0,1.0
2025-05-20 21:08:37.457336,24.59,27.07,27.74,27.21,-100.0,-100.0,-100.0,1.0
2025-05-20 21:08:38.448808,26.24,27.05,27.53,27.14,-100.0,-100.0,-100.0,1.0
2025-05-20 21:08:39.561085,21.07,26.25,27.78,27.1,-100.0,-100.0,-100.0,1.0
2025-05-20 21:08:40.659525,21.76,27.45,27.72,27.27,-100.0,-100.0,-100.0,1.0
2025-05-20 21:08:41.755903,24.58,26.41,26.78,27.57,-100.0,-100.0,-100.0,1.0
2025-05-20 21:08:42.982234,26.52,26.59,27.63,27.67,-100.0,-100.0,-100.0,1.0
2025-05-20 21:08:44.032753,26.76,26.73,26.78,27.8,-100.0,-100.0,-100.0,1.0
2025-05-20 21:08:45.170309,22.11,26.11,27.83,27.5,-100.0,-100.0,-100.0,1.0
2025-05-20 21:08:46.247699,27.63,26.3,27.31,27.36,-100.0,-100.0,-100.0,1.0
2025-05-20 21:08:47.289915,23.46,27.49,27.66,27.02,-100.0,-100.0,-100.0,1.0
2025-05-20 21:08:48.286740,22.27,27.71,27.91,26.93,-100.0,-100.0,-100.0,1.0
2025-05-20 21:08:49.296207,21.57,26.11,27.8,27.15,-100.0,-100.0,-100.0,1.0
2025-05-20 21:08:50.415274,23.93,26.37,27.2,26.95,-100.0,-100.0,-100.0,1.0
2025-05-20 21:08:51.724025,19.74,26.78,27.62,27.56,-100.0,-100.0,-100.0,1.0
2025-05-20 21:08:52.808648,25.77,26.97,27.59,27.13,-100.0,-100.0,-100.0,1.0
2025-05-20 21:08:53.814862,19.53,27.81,27.84,27.35,-100.0,-100.0,-100.0,1.0
2025-05-20 21:08:54.809656,27.88,26.8,27.07,27.01,-100.0,-100.0,-100.0,1.0
2025-05-20 21:08:55.814618,22.12,27.02,26.93,26.9,-100.0,-100.0,-100.0,1.0
2025-05-20 21:08:56.808358,20.38,26.86,27.27,27.16,-100.0,-100.0,-100.0,1.0
2025-05-20 21:08:58.368446,22.09,27.06,27.07,26.81,-100.0,-100.0,-100.0,1.0
2025-05-20 21:08:59.348357,25.83,26.1,26.97,27.81,-100.0,-100.0,-100.0,1.0
2025-05-20 21:09:00.738904,28.95,26.85,27.01,26.94,-100.0,-100.0,-100.0,1.0
2025-05-20 21:09:01.725516,26.7,26.01,27.61,27.52,-100.0,-100.0,-100.0,1.0
2025-05-20 21:09:02.725821,29.39,25.82,26.87,27.64,-100.0,-100.0,-100.0,1.0
2025-05-20 21:09:04.045553,22.12,26.51,27.43,27.31,-100.0,-100.0,-100.0,1.0
2025-05-20 21:09:05.388343,27.68,26.62,26.97,27.18,-100.0,-100.0,-100.0,1.0
2025-05-20 21:09:06.539627,27.51,26.96,27.21,26.97,-100.0,-100.0,-100.0,1.0
2025-05-20 21:09:07.703427,20.78,27.46,27.49,27.21,-100.0,-100.0,-100.0,1.0
2025-05-20 21:09:08.800873,22.6,26.1,27.79,27.5,-100.0,-100.0,-100.0,1.0
2025-05-20 21:09:10.073822,27.85,26.46,27.23,27.22,-100.0,-100.0,-100.0,1.0
2025-05-20 21:09:11.277997,27.59,26.23,26.8,27.65,-100.0,-100.0,-100.0,1.0
